"","recruitAgencyName","title"
"1","영도구청","영도청년 Build-業 일자리지원 참여 청년 모집 공고"
"2","부산광역시 동래구청","동래구 국민체육센터 시간강사, 수상안전관리요원 채용 공고"
"3","사상구청","2022년 무단방치 현장확인 및 통고처분 업무보조 기간제근로자 채용 공고"
"4","사상구청","통합사례관리사(공무직) 채용공고"
"5","수영구보건소","2022년 수영구보건소 기간제근로자(감염병 대응사업) 채용공고"
"6","부산광역시 남구청","재택치료관리사업(재택치료 간호인력) 기간제근로자 채용 재공고"
"7","부산광역시 장노년일자리지원센터","2022년 부산근대문화자산 활성화 사업단 참여자 선발 공고"
"8","부산광역시 장노년일자리지원센터","2022년 장애인 일자리 시설 지원단 참여자 선발 공고"
"9","부산광역시 동래구청","2022년『온천천관리 기간제근로자』모집 공고"
"10","부산광역시 동래구청","2022년 지역주도형 청년일자리「청년 디지털 일자리 이음 사업」참여 청년 모집 공고"
