"","title","maker","year","fuel","km","price"
"1","현대 아반떼HD 1.6 디젤 S16 럭셔리","현대","06/11(07년형)","디젤",250000,2200000
"2","기아 스팅어 3.3 터보 GT","기아","18/04","가솔린",50000,31900000
"3","제네시스 G70 3.3 터보 스포츠 엘리트","제네시스","19/09","가솔린",40000,39900000
"4","쌍용 렉스턴 스포츠 칸 2.2 디젤 4WD 5링크 프로페셔널 X","쌍용","19/02","디젤",50000,26500000
"5","기아 카니발 4세대 2.2 디젤 9인승 노블레스","기아","20/09(21년형)","디젤",40000,37500000
"6","기아 K5 1.6 터보 노블레스","기아","21/08","가솔린",4000,24500000
"7","기아 스팅어 3.3 터보 GT","기아","18/06","가솔린",60000,29500000
"8","쌍용 뉴렉스턴 2.7 디젤 4WD RX5 EDi 노블레스","쌍용","04/06","디젤",230000,2900000
"9","제네시스 G80 3.3 AWD 프리미엄 럭셔리","제네시스","17/03","가솔린",110000,25300000
"10","쉐보레 올 뉴 말리부 2.0 터보 LTZ 프리미엄","쉐보레","16/10(17년형)","가솔린",40000,16900000
"11","기아 올 뉴 쏘렌토 2.2 디젤 2WD 노블레스","기아","16/06","디젤",1e+05,18700000
"12","쉐보레 올 뉴 말리부 2.0 터보 LTZ 프리미엄","쉐보레","17/03","가솔린",60000,16900000
"13","GM대우 라세티 프리미어 1.6 CDX 블루 & 블랙 에디션","GM대우","09/09","가솔린",140000,3100000
"14","현대 갤로퍼2 2.5 디젤 밴 2인승 숏바디 인터쿨러 엑시드","현대","01/04","디젤",140000,6500000
"15","쉐보레 크루즈 1.4 터보 5도어 LT 플러스 래더팩","쉐보레","14/08","가솔린",50000,7300000
"16","기아 모하비 더 마스터 3.0 디젤 4WD 5인승 마스터즈","기아","21/04","디젤",20000,53900000
"17","현대 e-카운티 캠핑카","현대","09/07","디젤",350000,3.7e+07
"18","쌍용 렉스턴2 노블레스 최고급형","쌍용","05/11(06년형)","가솔린",180000,11500000
"19","기아 올 뉴 모닝 1.0 터보 프레스티지","기아","17/05","가솔린",50000,1.2e+07
"20","현대 제네시스 3.8 로얄","현대","08/07","가솔린",150000,7900000
"21","현대 벨로스터 1.4 터보 모던","현대","18/12","가솔린",9000,15690000
"22","기아 봉고3 CRDi 킹캡 초장축 GLX","기아","09/07","디젤",80000,5990000
"23","쉐보레 아베오 1.6 LT 최고급형","쉐보레","12/01","가솔린",80000,4390000
"24","현대 엑센트 1.4 스마트","현대","13/12(14년형)","가솔린",120000,3990000
"25","쉐보레 스파크 1.0 LS","쉐보레","12/11","가솔린",90000,3390000
"26","제네시스 더 올 뉴 G80 2.5 T-GDi","제네시스","20/07(21년형)","가솔린",10000,53500000
"27","기아 스팅어 3.3 터보 AWD GT","기아","19/00","가솔린",70000,26800000
"28","현대 그랜드스타렉스 캠핑카","현대","15/11(16년형)","디젤",80000,2.7e+07
"29","현대 제네시스 쿠페 3.8 GT R","현대","09/07(10년형)","가솔린",150000,6900000
"30","기아 K7 3.5 노블레스 프리미엄","기아","10/02","가솔린",190000,6900000
"31","현대 그랜저TG Q270 LPi","현대","06/04","LPG",240000,3800000
"32","쌍용 더 뉴 코란도 스포츠 2.2 익스트림 4WD","쌍용","17/04","디젤",70000,19900000
"33","현대 아반떼AD 1.6 T-GDi 스포츠 M/T","현대","16/06(17년형)","가솔린",130000,13500000
"34","GM대우 BH 119","GM대우","04/12(05년형)","디젤",150000,2.1e+07
"35","현대 싼타페 더 프라임 2.0 디젤 2WD 익스클루시브 스페셜","현대","16/06","디젤",60000,25900000
"36","현대 그랜드스타렉스 리무진","현대","12/11(13년형)","디젤",170000,12400000
"37","현대 벨로스터 N 2.0 터보 퍼포먼스팩","현대","19/03","가솔린",50000,15900000
"38","기아 모하비 더 마스터 3.0 디젤 4WD 6인승 마스터즈","기아","20/09(21년형)","디젤",30000,4.7e+07
"39","기아 스팅어 3.3 T-GDi AWD GT","기아","17/05(18년형)","가솔린",50000,34500000
"40","현대 e-카운티 캠핑카","현대","11/11(12년형)","디젤",110000,53900000
"41","기아 K7 프리미어 2.5 GDI 노블레스","기아","19/08(20년형)","가솔린",20000,3.3e+07
"42","르노삼성 마스터 2.3 디젤 캠핑카","르노삼성","19/10","디젤",10000,7.2e+07
"43","기아 K5 하이브리드 G2.0 시그니처","기아","20/05","가솔린+전기",20000,NA
"44","쉐보레 카마로 SS 6.2 V8","쉐보레","16/10(17년형)","가솔린",70000,NA
"45","현대 벨로스터 1.6 터보 D 스펙","현대","13/12(14년형)","가솔린",160000,NA
"46","쌍용 뉴체어맨 2.3 CM400S 트라이엄","쌍용","03/10(04년형)","가솔린",40000,2800000
"47","현대 제네시스 쿠페 200 터보 P","현대","09/11(10년형)","가솔린",150000,5500000
"48","현대 아슬란 3.3 G330 익스클루시브","현대","14/11(15년형)","가솔린",1e+05,20900000
"49","제네시스 G80 3.3 AWD 럭셔리","제네시스","17/12(18년형)","가솔린",140000,23390000
"50","CN카니발 하이루프 리무진","CN카니발","21/02","가솔린",10000,NA
"51","현대 싼타페DM 2.0 VGT 2WD 익스클루시브","현대","12/07(13년형)","디젤",130000,17900000
"52","쉐보레 카마로 SS 6.2 V8","쉐보레","17/11","가솔린",30000,44300000
"53","현대 유니버스 캠핑카","현대","10/09","디젤",4e+05,7.9e+07
"54","현대 싼타페TM 2.0 디젤 4WD 프레스티지","현대","18/02(19년형)","디젤",50000,35300000
"55","기아 K8 3.5 GDI 시그니처","기아","21/04(22년형)","가솔린",3000,46700000
"56","GM대우 레스타 단축 캠핑카","GM대우","19/10","디젤",10000,9.6e+07
"57","현대 코나 N 2.0 T-GDI","현대","21/11","가솔린",397,36800000
"58","기아 레이 1.0 밴 고급형","기아","14/08(15년형)","가솔린",70000,NA
"59","현대 그랜저 2.0","현대","91/05","가솔린",140000,8900000
"60","현대 e-카운티 캠핑카","현대","07/11(08년형)","디젤",150000,36800000
"61","현대 싼타페TM 2.2 디젤 2WD 프레스티지","현대","18/03(19년형)","디젤",50000,32900000
"62","기아 스포티지R 2.0 T-GDI 2WD 리미티드","기아","11/05(12년형)","가솔린",110000,12900000
"63","쉐보레 스파크 LPGi LS 플러스","쉐보레","14/07","LPG",60000,4e+06
"64","기아 뉴 페이스 카렌스 2.0 LPI GLX 최고급형","기아","12/09(13년형)","LPG",120000,6950000
"65","현대 제네시스 GP500 프라다","현대","11/06(12년형)","가솔린",180000,20900000
"66","현대 벨로스터 1.6 T-GDi 스포츠","현대","18/10","가솔린",70000,15400000
"67","쉐보레 올란도 2.0 LPGi LS 고급형","쉐보레","13/05","LPG",150000,8300000
"68","현대 더 뉴 그랜드스타렉스 2.5 디젤 밴 5인승 스마트","현대","19/04","디젤",20000,22900000
"69","현대 그랜저IG 3.0 LPi 모던","현대","18/07(19년형)","LPG",80000,22500000
"70","기아 봉고3 파워게이트","기아","14/07","디젤",160000,9900000
